L0	L1	L2	L3	L4	L5
X35.22	X35.2	X35	X30-X39	V01-Y98	*
Y10.59	Y10.5	Y10	Y10-Y34	V01-Y98	*
X16.42	X16.4	X16	X10-X19	V01-Y98	*
W75.5	W75.5	W75	W75-W84	V01-Y98	*
W25.49	W25.4	W25	W20-W49	V01-Y98	*
Z87	Z87	Z87	Z80-Z99	Z00-Z99	*
N13.9	N13.9	N13	N10-N16	N00-N99	*
V42.53	V42.5	V42	V40-V49	V01-Y98	*
Y22.99	Y22.9	Y22	Y10-Y34	V01-Y98	*
W76.38	W76.3	W76	W75-W84	V01-Y98	*
X12.29	X12.2	X12	X10-X19	V01-Y98	*
X40.6	X40.6	X40	X40-X49	V01-Y98	*
C53	C53	C53	C51-C58	C00-D48	*
W66.41	W66.4	W66	W65-W74	V01-Y98	*
V77.5	V77.5	V77	V70-V79	V01-Y98	*
P80.9	P80.9	P80	P80-P83	P00-P96	*
W36.13	W36.1	W36	W20-W49	V01-Y98	*
X28.59	X28.5	X28	X20-X29	V01-Y98	*
W42.34	W42.3	W42	W20-W49	V01-Y98	*
Y14.43	Y14.4	Y14	Y10-Y34	V01-Y98	*
V43.44	V43.4	V43	V40-V49	V01-Y98	*
W09.32	W09.3	W09	W00-W19	V01-Y98	*
F10.24	F10.2	F10	F10-F19	F00-F99	*
V87.22	V87.2	V87	V80-V89	V01-Y98	*
H52.2	H52.2	H52	H49-H52	H00-H59	*
Y21.92	Y21.9	Y21	Y10-Y34	V01-Y98	*
D10.6	D10.6	D10	D10-D36	C00-D48	*
V91.9	V91.9	V91	V90-V94	V01-Y98	*
W16.18	W16.1	W16	W00-W19	V01-Y98	*
Y33.93	Y33.9	Y33	Y10-Y34	V01-Y98	*
X52.9	X52.9	X52	X50-X57	V01-Y98	*
W54.84	W54.8	W54	W50-W64	V01-Y98	*
I82.9	I82.9	I82	I80-I89	I00-I99	*
Z90.5	Z90.5	Z90	Z80-Z99	Z00-Z99	*
D57.1	D57.1	D57	D55-D59	D50-D89	*
W78.34	W78.3	W78	W75-W84	V01-Y98	*
C78.6	C78.6	C78	C76-C80	C00-D48	*
W38.12	W38.1	W38	W20-W49	V01-Y98	*
Y75.0	Y75.0	Y75	Y70-Y82	V01-Y98	*
X44.01	X44.0	X44	X40-X49	V01-Y98	*
V10.08	V10.0	V10	V10-V19	V01-Y98	*
M54.0	M54.0	M54	M50-M54	M00-M99	*
R94.8	R94.8	R94	R90-R94	R00-R99	*
X16.12	X16.1	X16	X10-X19	V01-Y98	*
L10.2	L10.2	L10	L10-L14	L00-L99	*
V68.53	V68.5	V68	V60-V69	V01-Y98	*
W05.2	W05.2	W05	W00-W19	V01-Y98	*
V69.54	V69.5	V69	V60-V69	V01-Y98	*
X91.22	X91.2	X91	X85-Y09	V01-Y98	*
X80.92	X80.9	X80	X60-X84	V01-Y98	*
V85.29	V85.2	V85	V80-V89	V01-Y98	*
W99.43	W99.4	W99	W85-W99	V01-Y98	*
X86.59	X86.5	X86	X85-Y09	V01-Y98	*
X36.68	X36.6	X36	X30-X39	V01-Y98	*
