L0	L1	L2	L3	L4	L5
V97.13	V97.1	V97	V95-V97	V01-Y98	*
C31.3	C31.3	C31	C30-C39	C00-D48	*
Q87.3	Q87.3	Q87	Q80-Q89	Q00-Q99	*
J66.0	J66.0	J66	J60-J70	J00-J99	*
Y21.1	Y21.1	Y21	Y10-Y34	V01-Y98	*
I08.9	I08.9	I08	I05-I09	I00-I99	*
V53.00	V53.0	V53	V50-V59	V01-Y98	*
V47.43	V47.4	V47	V40-V49	V01-Y98	*
Y22.60	Y22.6	Y22	Y10-Y34	V01-Y98	*
M10.2	M10.2	M10	M05-M14	M00-M99	*
Y05.04	Y05.0	Y05	X85-Y09	V01-Y98	*
B33	B33	B33	B25-B34	A00-B99	*
V47.54	V47.5	V47	V40-V49	V01-Y98	*
Y07.83	Y07.8	Y07	X85-Y09	V01-Y98	*
G71.0	G71.0	G71	G70-G73	G00-G99	*
V54.98	V54.9	V54	V50-V59	V01-Y98	*
M21.9	M21.9	M21	M20-M25	M00-M99	*
F44.5	F44.5	F44	F40-F49	F00-F99	*
W58.13	W58.1	W58	W50-W64	V01-Y98	*
X83.79	X83.7	X83	X60-X84	V01-Y98	*
R40-R46	R40-R46	R40-R46	R40-R46	R00-R99	*
W67.44	W67.4	W67	W65-W74	V01-Y98	*
T34.4	T34.4	T34	T33-T35	S00-T98	*
X63.8	X63.8	X63	X60-X84	V01-Y98	*
Z95.4	Z95.4	Z95	Z80-Z99	Z00-Z99	*
X08.7	X08.7	X08	X00-X09	V01-Y98	*
J03.8	J03.8	J03	J00-J06	J00-J99	*
W01.64	W01.6	W01	W00-W19	V01-Y98	*
X94.53	X94.5	X94	X85-Y09	V01-Y98	*
Y21.39	Y21.3	Y21	Y10-Y34	V01-Y98	*
X13.22	X13.2	X13	X10-X19	V01-Y98	*
W57.31	W57.3	W57	W50-W64	V01-Y98	*
X96.70	X96.7	X96	X85-Y09	V01-Y98	*
V93.89	V93.8	V93	V90-V94	V01-Y98	*
X70.0	X70.0	X70	X60-X84	V01-Y98	*
W13.12	W13.1	W13	W00-W19	V01-Y98	*
W11.4	W11.4	W11	W00-W19	V01-Y98	*
Y19.6	Y19.6	Y19	Y10-Y34	V01-Y98	*
G96.0	G96.0	G96	G90-G99	G00-G99	*
Q35.9	Q35.9	Q35	Q35-Q37	Q00-Q99	*
T19.1	T19.1	T19	T15-T19	S00-T98	*
L75.1	L75.1	L75	L60-L75	L00-L99	*
W37.61	W37.6	W37	W20-W49	V01-Y98	*
X87.20	X87.2	X87	X85-Y09	V01-Y98	*
X74.69	X74.6	X74	X60-X84	V01-Y98	*
A66.8	A66.8	A66	A65-A69	A00-B99	*
X21	X21	X21	X20-X29	V01-Y98	*
V46.69	V46.6	V46	V40-V49	V01-Y98	*
P22	P22	P22	P20-P29	P00-P96	*
V81.20	V81.2	V81	V80-V89	V01-Y98	*
J35.8	J35.8	J35	J30-J39	J00-J99	*
V78.28	V78.2	V78	V70-V79	V01-Y98	*
L29.3	L29.3	L29	L20-L30	L00-L99	*
V23.28	V23.2	V23	V20-V29	V01-Y98	*
Y00.74	Y00.7	Y00	X85-Y09	V01-Y98	*
Q65.3	Q65.3	Q65	Q65-Q79	Q00-Q99	*
Q74.9	Q74.9	Q74	Q65-Q79	Q00-Q99	*
V95.32	V95.3	V95	V95-V97	V01-Y98	*
W89.18	W89.1	W89	W85-W99	V01-Y98	*
W85.42	W85.4	W85	W85-W99	V01-Y98	*
Y23.14	Y23.1	Y23	Y10-Y34	V01-Y98	*
V38.32	V38.3	V38	V30-V39	V01-Y98	*
B34.0	B34.0	B34	B25-B34	A00-B99	*
R41	R41	R41	R40-R46	R00-R99	*
X96.31	X96.3	X96	X85-Y09	V01-Y98	*
X06.7	X06.7	X06	X00-X09	V01-Y98	*
V37.48	V37.4	V37	V30-V39	V01-Y98	*
W87.24	W87.2	W87	W85-W99	V01-Y98	*
V11.51	V11.5	V11	V10-V19	V01-Y98	*
X45.84	X45.8	X45	X40-X49	V01-Y98	*
X88.51	X88.5	X88	X85-Y09	V01-Y98	*
V65.02	V65.0	V65	V60-V69	V01-Y98	*
X60.54	X60.5	X60	X60-X84	V01-Y98	*
I22.8	I22.8	I22	I20-I25	I00-I99	*
Y15.8	Y15.8	Y15	Y10-Y34	V01-Y98	*
X78.21	X78.2	X78	X60-X84	V01-Y98	*
K71	K71	K71	K70-K77	K00-K93	*
W69.18	W69.1	W69	W65-W74	V01-Y98	*
E70.0	E70.0	E70	E70-E90	E00-E90	*
S67.0	S67.0	S67	S60-S69	S00-T98	*
V46.18	V46.1	V46	V40-V49	V01-Y98	*
M25.7	M25.7	M25	M20-M25	M00-M99	*
X23.9	X23.9	X23	X20-X29	V01-Y98	*
B54	B54	B54	B50-B64	A00-B99	*
V11.44	V11.4	V11	V10-V19	V01-Y98	*
V38.78	V38.7	V38	V30-V39	V01-Y98	*
V55.21	V55.2	V55	V50-V59	V01-Y98	*
X97.11	X97.1	X97	X85-Y09	V01-Y98	*
V35.91	V35.9	V35	V30-V39	V01-Y98	*
Y10.29	Y10.2	Y10	Y10-Y34	V01-Y98	*
M82.8	M82.8	M82	M80-M85	M00-M99	*
X09.98	X09.9	X09	X00-X09	V01-Y98	*
F60.0	F60.0	F60	F60-F69	F00-F99	*
Y11.19	Y11.1	Y11	Y10-Y34	V01-Y98	*
W15.90	W15.9	W15	W00-W19	V01-Y98	*
V46.19	V46.1	V46	V40-V49	V01-Y98	*
Y17.70	Y17.7	Y17	Y10-Y34	V01-Y98	*
Z13.9	Z13.9	Z13	Z00-Z13	Z00-Z99	*
Q79.3	Q79.3	Q79	Q65-Q79	Q00-Q99	*
V15.58	V15.5	V15	V10-V19	V01-Y98	*
A30.3	A30.3	A30	A30-A49	A00-B99	*
W74.10	W74.1	W74	W65-W74	V01-Y98	*
V82.44	V82.4	V82	V80-V89	V01-Y98	*
X33.81	X33.8	X33	X30-X39	V01-Y98	*
X22.22	X22.2	X22	X20-X29	V01-Y98	*
X60.02	X60.0	X60	X60-X84	V01-Y98	*
Y26.9	Y26.9	Y26	Y10-Y34	V01-Y98	*
V61.61	V61.6	V61	V60-V69	V01-Y98	*
W00.04	W00.0	W00	W00-W19	V01-Y98	*
X77.44	X77.4	X77	X60-X84	V01-Y98	*
X73.6	X73.6	X73	X60-X84	V01-Y98	*
M77	M77	M77	M70-M79	M00-M99	*
B35.2	B35.2	B35	B35-B49	A00-B99	*
W58.33	W58.3	W58	W50-W64	V01-Y98	*
W73.43	W73.4	W73	W65-W74	V01-Y98	*
Y24.22	Y24.2	Y24	Y10-Y34	V01-Y98	*
X37.22	X37.2	X37	X30-X39	V01-Y98	*
W92.34	W92.3	W92	W85-W99	V01-Y98	*
N00.2	N00.2	N00	N00-N08	N00-N99	*
W44.79	W44.7	W44	W20-W49	V01-Y98	*
X80.0	X80.0	X80	X60-X84	V01-Y98	*
W76.11	W76.1	W76	W75-W84	V01-Y98	*
V68.63	V68.6	V68	V60-V69	V01-Y98	*
X36.42	X36.4	X36	X30-X39	V01-Y98	*
M66.5	M66.5	M66	M65-M68	M00-M99	*
Y09.44	Y09.4	Y09	X85-Y09	V01-Y98	*
V53.50	V53.5	V53	V50-V59	V01-Y98	*
V73.92	V73.9	V73	V70-V79	V01-Y98	*
X32.69	X32.6	X32	X30-X39	V01-Y98	*
E61.2	E61.2	E61	E50-E64	E00-E90	*
W12.72	W12.7	W12	W00-W19	V01-Y98	*
V82.59	V82.5	V82	V80-V89	V01-Y98	*
V45.92	V45.9	V45	V40-V49	V01-Y98	*
X36.14	X36.1	X36	X30-X39	V01-Y98	*
V19.58	V19.5	V19	V10-V19	V01-Y98	*
M81.5	M81.5	M81	M80-M85	M00-M99	*
I42.9	I42.9	I42	I30-I52	I00-I99	*
X39.14	X39.1	X39	X30-X39	V01-Y98	*
W42.00	W42.0	W42	W20-W49	V01-Y98	*
W53.88	W53.8	W53	W50-W64	V01-Y98	*
V64.33	V64.3	V64	V60-V69	V01-Y98	*
K57.4	K57.4	K57	K55-K63	K00-K93	*
F20.92	F20.9	F20	F20-F29	F00-F99	*
Y08.54	Y08.5	Y08	X85-Y09	V01-Y98	*
D80.1	D80.1	D80	D80-D89	D50-D89	*
V68.6	V68.6	V68	V60-V69	V01-Y98	*
X03.34	X03.3	X03	X00-X09	V01-Y98	*
C09.8	C09.8	C09	C00-C14	C00-D48	*
X27.93	X27.9	X27	X20-X29	V01-Y98	*
Q10.1	Q10.1	Q10	Q10-Q18	Q00-Q99	*
H68	H68	H68	H65-H75	H60-H95	*
W17.43	W17.4	W17	W00-W19	V01-Y98	*
X70.99	X70.9	X70	X60-X84	V01-Y98	*
V87.59	V87.5	V87	V80-V89	V01-Y98	*
X20.9	X20.9	X20	X20-X29	V01-Y98	*
W90.84	W90.8	W90	W85-W99	V01-Y98	*
G95.9	G95.9	G95	G90-G99	G00-G99	*
W55.19	W55.1	W55	W50-W64	V01-Y98	*
X31.03	X31.0	X31	X30-X39	V01-Y98	*
D46.4	D46.4	D46	D37-D48	C00-D48	*
T50.7	T50.7	T50	T36-T50	S00-T98	*
Y02.13	Y02.1	Y02	X85-Y09	V01-Y98	*
Y01.1	Y01.1	Y01	X85-Y09	V01-Y98	*
L63.9	L63.9	L63	L60-L75	L00-L99	*
X42.59	X42.5	X42	X40-X49	V01-Y98	*
W15.39	W15.3	W15	W00-W19	V01-Y98	*
W16.21	W16.2	W16	W00-W19	V01-Y98	*
X68.2	X68.2	X68	X60-X84	V01-Y98	*
W26.38	W26.3	W26	W20-W49	V01-Y98	*
C48.2	C48.2	C48	C45-C49	C00-D48	*
V96.02	V96.0	V96	V95-V97	V01-Y98	*
X75.01	X75.0	X75	X60-X84	V01-Y98	*
P24	P24	P24	P20-P29	P00-P96	*
T90.0	T90.0	T90	T90-T98	S00-T98	*
X09.70	X09.7	X09	X00-X09	V01-Y98	*
X16.5	X16.5	X16	X10-X19	V01-Y98	*
G21.2	G21.2	G21	G20-G26	G00-G99	*
H50.0	H50.0	H50	H49-H52	H00-H59	*
Y19.11	Y19.1	Y19	Y10-Y34	V01-Y98	*
V29.49	V29.4	V29	V20-V29	V01-Y98	*
V27.12	V27.1	V27	V20-V29	V01-Y98	*
Y11.82	Y11.8	Y11	Y10-Y34	V01-Y98	*
R30	R30	R30	R30-R39	R00-R99	*
Y20.31	Y20.3	Y20	Y10-Y34	V01-Y98	*
X83.99	X83.9	X83	X60-X84	V01-Y98	*
W23.94	W23.9	W23	W20-W49	V01-Y98	*
X71.10	X71.1	X71	X60-X84	V01-Y98	*
Y21.68	Y21.6	Y21	Y10-Y34	V01-Y98	*
A04.2	A04.2	A04	A00-A09	A00-B99	*
M03.1	M03.1	M03	M00-M03	M00-M99	*
Y65.4	Y65.4	Y65	Y60-Y69	V01-Y98	*
X82.32	X82.3	X82	X60-X84	V01-Y98	*
G82.0	G82.0	G82	G80-G83	G00-G99	*
X39.53	X39.5	X39	X30-X39	V01-Y98	*
V53.58	V53.5	V53	V50-V59	V01-Y98	*
X67.49	X67.4	X67	X60-X84	V01-Y98	*
Y22.32	Y22.3	Y22	Y10-Y34	V01-Y98	*
X57.60	X57.6	X57	X50-X57	V01-Y98	*
O98.6	O98.6	O98	O95-O99	O00-O99	*
E28.3	E28.3	E28	E20-E35	E00-E90	*
Y30.42	Y30.4	Y30	Y10-Y34	V01-Y98	*
K70.4	K70.4	K70	K70-K77	K00-K93	*
F66.18	F66.1	F66	F60-F69	F00-F99	*
W00.92	W00.9	W00	W00-W19	V01-Y98	*
W94	W94	W94	W85-W99	V01-Y98	*
Y05.1	Y05.1	Y05	X85-Y09	V01-Y98	*
V38.10	V38.1	V38	V30-V39	V01-Y98	*
V44.32	V44.3	V44	V40-V49	V01-Y98	*
V54.29	V54.2	V54	V50-V59	V01-Y98	*
Y04.08	Y04.0	Y04	X85-Y09	V01-Y98	*
T33.7	T33.7	T33	T33-T35	S00-T98	*
X73.51	X73.5	X73	X60-X84	V01-Y98	*
X66.28	X66.2	X66	X60-X84	V01-Y98	*
V76.14	V76.1	V76	V70-V79	V01-Y98	*
V71.6	V71.6	V71	V70-V79	V01-Y98	*
W84.63	W84.6	W84	W75-W84	V01-Y98	*
X99.94	X99.9	X99	X85-Y09	V01-Y98	*
G56.3	G56.3	G56	G50-G59	G00-G99	*
W15.2	W15.2	W15	W00-W19	V01-Y98	*
X73.49	X73.4	X73	X60-X84	V01-Y98	*
Q75.4	Q75.4	Q75	Q65-Q79	Q00-Q99	*
X37.1	X37.1	X37	X30-X39	V01-Y98	*
X17.31	X17.3	X17	X10-X19	V01-Y98	*
X65.20	X65.2	X65	X60-X84	V01-Y98	*
J01.9	J01.9	J01	J00-J06	J00-J99	*
Z54.4	Z54.4	Z54	Z40-Z54	Z00-Z99	*
E28.2	E28.2	E28	E20-E35	E00-E90	*
J38.2	J38.2	J38	J30-J39	J00-J99	*
V79.24	V79.2	V79	V70-V79	V01-Y98	*
Y21.08	Y21.0	Y21	Y10-Y34	V01-Y98	*
X36.82	X36.8	X36	X30-X39	V01-Y98	*
X27.78	X27.7	X27	X20-X29	V01-Y98	*
S42.41	S42.4	S42	S40-S49	S00-T98	*
W16.79	W16.7	W16	W00-W19	V01-Y98	*
P04.4	P04.4	P04	P00-P04	P00-P96	*
N45	N45	N45	N40-N51	N00-N99	*
M35.6	M35.6	M35	M30-M36	M00-M99	*
V10.0	V10.0	V10	V10-V19	V01-Y98	*
X97.84	X97.8	X97	X85-Y09	V01-Y98	*
D40.9	D40.9	D40	D37-D48	C00-D48	*
T67.1	T67.1	T67	T66-T78	S00-T98	*
S64.0	S64.0	S64	S60-S69	S00-T98	*
W08.71	W08.7	W08	W00-W19	V01-Y98	*
X40.38	X40.3	X40	X40-X49	V01-Y98	*
X64.2	X64.2	X64	X60-X84	V01-Y98	*
W39.34	W39.3	W39	W20-W49	V01-Y98	*
V20.03	V20.0	V20	V20-V29	V01-Y98	*
T40.8	T40.8	T40	T36-T50	S00-T98	*
X91.43	X91.4	X91	X85-Y09	V01-Y98	*
D37.9	D37.9	D37	D37-D48	C00-D48	*
E70	E70	E70	E70-E90	E00-E90	*
T24.7	T24.7	T24	T20-T25	S00-T98	*
V87.39	V87.3	V87	V80-V89	V01-Y98	*
I09	I09	I09	I05-I09	I00-I99	*
L63.2	L63.2	L63	L60-L75	L00-L99	*
X93.1	X93.1	X93	X85-Y09	V01-Y98	*
X32.48	X32.4	X32	X30-X39	V01-Y98	*
X71.71	X71.7	X71	X60-X84	V01-Y98	*
W68.59	W68.5	W68	W65-W74	V01-Y98	*
Q60.2	Q60.2	Q60	Q60-Q64	Q00-Q99	*
X95.74	X95.7	X95	X85-Y09	V01-Y98	*
W21.1	W21.1	W21	W20-W49	V01-Y98	*
W70.41	W70.4	W70	W65-W74	V01-Y98	*
R46.1	R46.1	R46	R40-R46	R00-R99	*
X64.84	X64.8	X64	X60-X84	V01-Y98	*
Q41.0	Q41.0	Q41	Q38-Q45	Q00-Q99	*
W49.43	W49.4	W49	W20-W49	V01-Y98	*
Y24.88	Y24.8	Y24	Y10-Y34	V01-Y98	*
V53.48	V53.4	V53	V50-V59	V01-Y98	*
D02.4	D02.4	D02	D00-D09	C00-D48	*
J11.0	J11.0	J11	J09-J18	J00-J99	*
V96.29	V96.2	V96	V95-V97	V01-Y98	*
H00.1	H00.1	H00	H00-H06	H00-H59	*
V61.69	V61.6	V61	V60-V69	V01-Y98	*
X68.7	X68.7	X68	X60-X84	V01-Y98	*
A31.1	A31.1	A31	A30-A49	A00-B99	*
Y27.9	Y27.9	Y27	Y10-Y34	V01-Y98	*
X11.79	X11.7	X11	X10-X19	V01-Y98	*
W54.81	W54.8	W54	W50-W64	V01-Y98	*
F01.90	F01.9	F01	F00-F09	F00-F99	*
X04.73	X04.7	X04	X00-X09	V01-Y98	*
P96.5	P96.5	P96	P90-P96	P00-P96	*
Y31.43	Y31.4	Y31	Y10-Y34	V01-Y98	*
V28.18	V28.1	V28	V20-V29	V01-Y98	*
V36.70	V36.7	V36	V30-V39	V01-Y98	*
X44.14	X44.1	X44	X40-X49	V01-Y98	*
X31.64	X31.6	X31	X30-X39	V01-Y98	*
W78.9	W78.9	W78	W75-W84	V01-Y98	*
G47	G47	G47	G40-G47	G00-G99	*
W74.39	W74.3	W74	W65-W74	V01-Y98	*
X09.38	X09.3	X09	X00-X09	V01-Y98	*
S52.6	S52.6	S52	S50-S59	S00-T98	*
W55.59	W55.5	W55	W50-W64	V01-Y98	*
P91.9	P91.9	P91	P90-P96	P00-P96	*
W85.28	W85.2	W85	W85-W99	V01-Y98	*
W26.50	W26.5	W26	W20-W49	V01-Y98	*
F52.8	F52.8	F52	F50-F59	F00-F99	*
T02.41	T02.4	T02	T00-T07	S00-T98	*
Y32.21	Y32.2	Y32	Y10-Y34	V01-Y98	*
X85-Y09	X85-Y09	X85-Y09	X85-Y09	V01-Y98	*
X60	X60	X60	X60-X84	V01-Y98	*
X41.78	X41.7	X41	X40-X49	V01-Y98	*
V50.61	V50.6	V50	V50-V59	V01-Y98	*
W44.60	W44.6	W44	W20-W49	V01-Y98	*
V26.13	V26.1	V26	V20-V29	V01-Y98	*
V91.3	V91.3	V91	V90-V94	V01-Y98	*
W65.5	W65.5	W65	W65-W74	V01-Y98	*
P24.2	P24.2	P24	P20-P29	P00-P96	*
X32.11	X32.1	X32	X30-X39	V01-Y98	*
X54.50	X54.5	X54	X50-X57	V01-Y98	*
Y17.99	Y17.9	Y17	Y10-Y34	V01-Y98	*
X72.79	X72.7	X72	X60-X84	V01-Y98	*
V95.49	V95.4	V95	V95-V97	V01-Y98	*
X97.09	X97.0	X97	X85-Y09	V01-Y98	*
W42.24	W42.2	W42	W20-W49	V01-Y98	*
X16.79	X16.7	X16	X10-X19	V01-Y98	*
H20.1	H20.1	H20	H15-H22	H00-H59	*
X38.93	X38.9	X38	X30-X39	V01-Y98	*
X85.48	X85.4	X85	X85-Y09	V01-Y98	*
V67.03	V67.0	V67	V60-V69	V01-Y98	*
W87.34	W87.3	W87	W85-W99	V01-Y98	*
V73.60	V73.6	V73	V70-V79	V01-Y98	*
W90.64	W90.6	W90	W85-W99	V01-Y98	*
X47.74	X47.7	X47	X40-X49	V01-Y98	*
W10.03	W10.0	W10	W00-W19	V01-Y98	*
W32.14	W32.1	W32	W20-W49	V01-Y98	*
X94.84	X94.8	X94	X85-Y09	V01-Y98	*
V64.40	V64.4	V64	V60-V69	V01-Y98	*
X64.98	X64.9	X64	X60-X84	V01-Y98	*
H10.3	H10.3	H10	H10-H13	H00-H59	*
T61.1	T61.1	T61	T51-T65	S00-T98	*
F34	F34	F34	F30-F39	F00-F99	*
W39.14	W39.1	W39	W20-W49	V01-Y98	*
A63.0	A63.0	A63	A50-A64	A00-B99	*
P78	P78	P78	P75-P78	P00-P96	*
Z54.2	Z54.2	Z54	Z40-Z54	Z00-Z99	*
V88.99	V88.9	V88	V80-V89	V01-Y98	*
W42.54	W42.5	W42	W20-W49	V01-Y98	*
X12.00	X12.0	X12	X10-X19	V01-Y98	*
F16.5	F16.5	F16	F10-F19	F00-F99	*
V19.5	V19.5	V19	V10-V19	V01-Y98	*
I89.2	I89.2	I89	I80-I89	I00-I99	*
X23.39	X23.3	X23	X20-X29	V01-Y98	*
M09.0	M09.0	M09	M05-M14	M00-M99	*
S55.1	S55.1	S55	S50-S59	S00-T98	*
J98.5	J98.5	J98	J95-J99	J00-J99	*
V70.43	V70.4	V70	V70-V79	V01-Y98	*
V26.38	V26.3	V26	V20-V29	V01-Y98	*
X28	X28	X28	X20-X29	V01-Y98	*
X34.01	X34.0	X34	X30-X39	V01-Y98	*
X04.80	X04.8	X04	X00-X09	V01-Y98	*
X68.61	X68.6	X68	X60-X84	V01-Y98	*
W89.22	W89.2	W89	W85-W99	V01-Y98	*
W07.14	W07.1	W07	W00-W19	V01-Y98	*
X81.43	X81.4	X81	X60-X84	V01-Y98	*
W15.61	W15.6	W15	W00-W19	V01-Y98	*
X32.58	X32.5	X32	X30-X39	V01-Y98	*
H02.2	H02.2	H02	H00-H06	H00-H59	*
T02.90	T02.9	T02	T00-T07	S00-T98	*
V85.32	V85.3	V85	V80-V89	V01-Y98	*
W10.2	W10.2	W10	W00-W19	V01-Y98	*
V28.98	V28.9	V28	V20-V29	V01-Y98	*
O80.9	O80.9	O80	O80-O84	O00-O99	*
X18.92	X18.9	X18	X10-X19	V01-Y98	*
S37.80	S37.8	S37	S30-S39	S00-T98	*
W50.44	W50.4	W50	W50-W64	V01-Y98	*
T41.3	T41.3	T41	T36-T50	S00-T98	*
S93.4	S93.4	S93	S90-S99	S00-T98	*
W92.13	W92.1	W92	W85-W99	V01-Y98	*
V76.98	V76.9	V76	V70-V79	V01-Y98	*
V20.02	V20.0	V20	V20-V29	V01-Y98	*
Y10.22	Y10.2	Y10	Y10-Y34	V01-Y98	*
W81.51	W81.5	W81	W75-W84	V01-Y98	*
X47.12	X47.1	X47	X40-X49	V01-Y98	*
W23.40	W23.4	W23	W20-W49	V01-Y98	*
F60.9	F60.9	F60	F60-F69	F00-F99	*
W15.49	W15.4	W15	W00-W19	V01-Y98	*
Q35.5	Q35.5	Q35	Q35-Q37	Q00-Q99	*
V54.14	V54.1	V54	V50-V59	V01-Y98	*
X11.52	X11.5	X11	X10-X19	V01-Y98	*
W26.60	W26.6	W26	W20-W49	V01-Y98	*
X18.43	X18.4	X18	X10-X19	V01-Y98	*
O35.0	O35.0	O35	O30-O48	O00-O99	*
V57.71	V57.7	V57	V50-V59	V01-Y98	*
O15.0	O15.0	O15	O10-O16	O00-O99	*
F12.03	F12.0	F12	F10-F19	F00-F99	*
X33.62	X33.6	X33	X30-X39	V01-Y98	*
V72.62	V72.6	V72	V70-V79	V01-Y98	*
X84.24	X84.2	X84	X60-X84	V01-Y98	*
X00.82	X00.8	X00	X00-X09	V01-Y98	*
V18.54	V18.5	V18	V10-V19	V01-Y98	*
W52.31	W52.3	W52	W50-W64	V01-Y98	*
X58.09	X58.0	X58	X58-X59	V01-Y98	*
X04.50	X04.5	X04	X00-X09	V01-Y98	*
V47.41	V47.4	V47	V40-V49	V01-Y98	*
I09.1	I09.1	I09	I05-I09	I00-I99	*
Y00.53	Y00.5	Y00	X85-Y09	V01-Y98	*
W32.19	W32.1	W32	W20-W49	V01-Y98	*
Y04.39	Y04.3	Y04	X85-Y09	V01-Y98	*
F13.74	F13.7	F13	F10-F19	F00-F99	*
X86.21	X86.2	X86	X85-Y09	V01-Y98	*
W15.64	W15.6	W15	W00-W19	V01-Y98	*
P15	P15	P15	P10-P15	P00-P96	*
Q07	Q07	Q07	Q00-Q07	Q00-Q99	*
X00.31	X00.3	X00	X00-X09	V01-Y98	*
Y15.99	Y15.9	Y15	Y10-Y34	V01-Y98	*
W79.01	W79.0	W79	W75-W84	V01-Y98	*
P54.0	P54.0	P54	P50-P61	P00-P96	*
X20.73	X20.7	X20	X20-X29	V01-Y98	*
M15.3	M15.3	M15	M15-M19	M00-M99	*
T17.2	T17.2	T17	T15-T19	S00-T98	*
W28.02	W28.0	W28	W20-W49	V01-Y98	*
Y00.13	Y00.1	Y00	X85-Y09	V01-Y98	*
Y06.10	Y06.1	Y06	X85-Y09	V01-Y98	*
W01.8	W01.8	W01	W00-W19	V01-Y98	*
X50.53	X50.5	X50	X50-X57	V01-Y98	*
X85.82	X85.8	X85	X85-Y09	V01-Y98	*
E26.9	E26.9	E26	E20-E35	E00-E90	*
Z84.8	Z84.8	Z84	Z80-Z99	Z00-Z99	*
O04.5	O04.5	O04	O00-O08	O00-O99	*
W07.62	W07.6	W07	W00-W19	V01-Y98	*
X15.34	X15.3	X15	X10-X19	V01-Y98	*
J44.1	J44.1	J44	J40-J47	J00-J99	*
V88.08	V88.0	V88	V80-V89	V01-Y98	*
X24.63	X24.6	X24	X20-X29	V01-Y98	*
V21.38	V21.3	V21	V20-V29	V01-Y98	*
W59	W59	W59	W50-W64	V01-Y98	*
X17.93	X17.9	X17	X10-X19	V01-Y98	*
W18.38	W18.3	W18	W00-W19	V01-Y98	*
Y05.99	Y05.9	Y05	X85-Y09	V01-Y98	*
H46	H46	H46	H46-H48	H00-H59	*
R44.2	R44.2	R44	R40-R46	R00-R99	*
H31.0	H31.0	H31	H30-H36	H00-H59	*
V80.23	V80.2	V80	V80-V89	V01-Y98	*
X32.50	X32.5	X32	X30-X39	V01-Y98	*
X45.11	X45.1	X45	X40-X49	V01-Y98	*
M24.7	M24.7	M24	M20-M25	M00-M99	*
Q83.0	Q83.0	Q83	Q80-Q89	Q00-Q99	*
Y09.09	Y09.0	Y09	X85-Y09	V01-Y98	*
V75.08	V75.0	V75	V70-V79	V01-Y98	*
V83.74	V83.7	V83	V80-V89	V01-Y98	*
G54.8	G54.8	G54	G50-G59	G00-G99	*
X58.80	X58.8	X58	X58-X59	V01-Y98	*
X49.82	X49.8	X49	X40-X49	V01-Y98	*
O10.4	O10.4	O10	O10-O16	O00-O99	*
X89.32	X89.3	X89	X85-Y09	V01-Y98	*
W38.43	W38.4	W38	W20-W49	V01-Y98	*
D33.1	D33.1	D33	D10-D36	C00-D48	*
H22.8	H22.8	H22	H15-H22	H00-H59	*
V30.58	V30.5	V30	V30-V39	V01-Y98	*
V48.38	V48.3	V48	V40-V49	V01-Y98	*
Y32.13	Y32.1	Y32	Y10-Y34	V01-Y98	*
W60.80	W60.8	W60	W50-W64	V01-Y98	*
E10.1	E10.1	E10	E10-E14	E00-E90	*
S84.1	S84.1	S84	S80-S89	S00-T98	*
X28.92	X28.9	X28	X20-X29	V01-Y98	*
V68.40	V68.4	V68	V60-V69	V01-Y98	*
X35	X35	X35	X30-X39	V01-Y98	*
W68.04	W68.0	W68	W65-W74	V01-Y98	*
Y12.33	Y12.3	Y12	Y10-Y34	V01-Y98	*
F10.23	F10.2	F10	F10-F19	F00-F99	*
X82.28	X82.2	X82	X60-X84	V01-Y98	*
O68.0	O68.0	O68	O60-O75	O00-O99	*
Q40.0	Q40.0	Q40	Q38-Q45	Q00-Q99	*
V43.22	V43.2	V43	V40-V49	V01-Y98	*
I87.8	I87.8	I87	I80-I89	I00-I99	*
W94.81	W94.8	W94	W85-W99	V01-Y98	*
W94.72	W94.7	W94	W85-W99	V01-Y98	*
W99.12	W99.1	W99	W85-W99	V01-Y98	*
W93.40	W93.4	W93	W85-W99	V01-Y98	*
L43	L43	L43	L40-L45	L00-L99	*
W11.0	W11.0	W11	W00-W19	V01-Y98	*
W58.62	W58.6	W58	W50-W64	V01-Y98	*
I69.2	I69.2	I69	I60-I69	I00-I99	*
V36.59	V36.5	V36	V30-V39	V01-Y98	*
X38.4	X38.4	X38	X30-X39	V01-Y98	*
D68.4	D68.4	D68	D65-D69	D50-D89	*
V57.41	V57.4	V57	V50-V59	V01-Y98	*
V46.24	V46.2	V46	V40-V49	V01-Y98	*
W02.50	W02.5	W02	W00-W19	V01-Y98	*
P83.5	P83.5	P83	P80-P83	P00-P96	*
O86.2	O86.2	O86	O85-O92	O00-O99	*
Z98	Z98	Z98	Z80-Z99	Z00-Z99	*
X12.58	X12.5	X12	X10-X19	V01-Y98	*
F70.0	F70.0	F70	F70-F79	F00-F99	*
W70.14	W70.1	W70	W65-W74	V01-Y98	*
V57.24	V57.2	V57	V50-V59	V01-Y98	*
Y11.72	Y11.7	Y11	Y10-Y34	V01-Y98	*
S56.8	S56.8	S56	S50-S59	S00-T98	*
Z92.0	Z92.0	Z92	Z80-Z99	Z00-Z99	*
W87.91	W87.9	W87	W85-W99	V01-Y98	*
M49	M49	M49	M45-M49	M00-M99	*
M46.3	M46.3	M46	M45-M49	M00-M99	*
V61.49	V61.4	V61	V60-V69	V01-Y98	*
Q74.0	Q74.0	Q74	Q65-Q79	Q00-Q99	*
